city,total,male,male_no_schooling_completed,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate_(includes_equivalency),male_some_college_less_than_1_year,male_some_college_1_or_more_years_no_degree,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female,female_no_schooling_completed,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate_(includes_equivalency),female_some_college_less_than_1_year,female_some_college_1_or_more_years_no_degree,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree
Forest Hill,8492,3581,374,72,270,144,72,0,40,232,984,233,574,358,160,52,16,0,4911,313,155,209,11,65,25,176,244,1579,427,584,295,733,87,0,8
Haltom City,29977,15807,388,54,614,964,484,510,405,308,6648,738,2041,881,1411,353,8,0,14170,445,107,510,518,677,702,375,352,4681,878,2143,903,1382,386,62,49
Hurst,27432,13172,264,37,152,116,476,216,134,289,2840,837,2716,891,3045,868,185,106,14260,218,38,249,109,92,124,140,247,3412,999,2705,1032,3286,1391,103,115
Keller,30926,15080,74,10,0,38,97,18,40,84,1627,756,1631,925,5842,2880,747,311,15846,37,0,61,54,27,25,161,81,2231,927,2495,939,5979,2074,479,276
Kennedale,6321,3356,88,42,38,8,192,191,20,89,690,190,581,365,641,181,0,40,2965,121,25,44,9,40,41,34,24,786,190,373,312,687,228,35,16
Lakeside,1066,512,3,0,0,0,8,17,6,3,134,55,102,56,74,27,14,13,554,4,0,0,10,4,3,0,5,158,72,106,35,97,55,5,0
Lake Worth,3566,1510,27,0,0,0,65,85,91,9,580,145,176,128,166,27,11,0,2056,17,0,55,48,43,19,45,79,665,160,223,162,465,64,0,11
Mansfield,47073,22347,76,32,71,170,110,79,134,263,4235,1253,4436,1933,6208,2624,293,430,24726,185,34,97,199,79,158,123,320,4727,1722,3814,2471,6896,3067,520,314
Newark,722,397,22,3,11,2,13,15,4,27,169,18,39,38,24,12,0,0,325,1,0,0,3,12,2,19,0,170,17,39,0,39,19,4,0
North Richland Hills,49276,23555,296,21,51,207,170,244,225,363,5287,1868,4111,2427,5787,2145,232,121,25721,311,250,162,66,153,152,267,518,6160,1681,3980,2447,7054,2219,92,209
Pantego,1878,936,0,0,0,4,0,0,0,21,271,82,86,46,289,97,14,26,942,0,23,0,0,7,0,23,0,237,21,171,83,290,67,16,4
Pecan Acres,2717,1319,39,0,0,0,26,10,38,34,298,34,122,80,442,137,48,11,1398,9,25,7,0,40,57,9,0,267,61,281,139,240,225,38,0
Pelican Bay,1385,689,7,15,0,31,8,37,50,31,241,26,117,62,48,16,0,0,696,15,0,5,12,38,70,25,11,222,77,63,57,72,29,0,0
Rendon,10464,5060,215,201,41,0,80,173,0,109,1481,231,839,402,759,316,89,124,5404,154,296,53,26,112,95,51,160,1220,322,1210,248,939,404,41,73
Reno,2053,1004,68,0,0,28,15,13,25,0,424,104,178,76,49,24,0,0,1049,77,5,0,0,55,16,54,13,290,112,107,172,79,37,5,27
Richland Hills,6252,2634,62,0,23,30,32,59,34,35,1054,255,442,185,276,83,34,30,3618,5,8,30,170,35,16,51,26,989,358,666,714,374,146,20,10
River Oaks,4766,2268,136,0,0,128,150,148,63,146,742,132,253,46,274,40,10,0,2498,103,15,64,13,79,98,66,37,995,201,245,161,291,130,0,0
Saginaw,15576,7793,71,0,63,254,65,102,111,184,2309,525,1495,778,1322,465,49,0,7783,165,56,15,94,0,130,156,164,2175,416,1320,895,1639,412,93,53
Sansom Park,2944,1266,90,10,60,20,12,0,0,9,856,50,120,26,7,6,0,0,1678,151,10,33,46,11,77,86,19,640,43,179,133,114,127,9,0
Watauga,15918,7850,62,0,114,26,124,189,92,190,2562,640,1345,624,1478,379,9,16,8068,216,11,70,26,294,25,129,137,2342,550,1171,854,1691,479,44,29
Westover Hills,647,305,0,0,0,0,0,0,0,0,29,2,13,4,142,23,69,23,342,0,0,0,0,0,0,0,0,19,0,62,19,205,17,17,3
Westworth Village,1813,890,0,0,0,0,4,25,13,0,289,84,113,64,189,44,65,0,923,9,0,26,8,10,4,4,5,324,105,104,60,176,54,24,10
White Settlement,12003,5406,55,332,152,56,54,181,171,46,2068,561,784,244,584,82,36,0,6597,151,22,209,54,149,281,97,163,1924,484,885,684,1049,408,37,0
