city,total,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_49999,50000_to_59999,60000_to_69999,70000_to_79999,80000_to_89999,90000_to_99999,100000_to_124999,125000_to_149999,150000_to_174999,175000_to_199999,200000_to_249999,250000_to_299999,300000_to_399999,400000_to_499999,500000_to_749999,750000_to_999999,1000000_to_1499999,1500000_to_1999999,2000000_or_more
Roanoke,2237,0,0,0,0,0,0,0,0,0,0,28,0,0,47,40,35,233,132,150,160,539,722,133,0,18,0
Sanger,2627,46,26,0,0,12,0,0,0,23,0,0,8,0,24,70,44,182,509,535,918,193,13,24,0,0,0
Savannah,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,21,210,917,403,153,0,22,0,0
Shady Shores,972,7,5,0,0,0,0,0,5,6,0,0,20,11,0,7,10,24,47,37,133,285,233,101,41,0,0
Southlake,8937,113,0,0,0,16,0,0,27,0,0,0,22,0,49,0,0,0,38,51,174,158,1749,2496,2400,961,683
The Colony,11131,117,0,0,11,63,32,7,36,5,0,17,0,0,55,95,200,292,1329,1597,3100,1760,1642,552,147,25,49
Trophy Club,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,135,327,825,1726,887,208,25,93
Westlake,499,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,21,31,43,33,37,319
Arlington,76941,868,311,489,260,337,162,296,174,312,190,178,365,483,2264,2368,2809,4593,14527,14152,19424,7338,3844,514,368,33,282
Azle,3545,0,10,0,22,0,0,0,0,0,10,38,30,46,129,227,173,176,713,718,591,413,161,7,0,33,48
Bedford,10600,14,16,25,7,23,6,0,0,41,31,0,14,14,92,41,168,417,1577,2053,3416,1731,802,31,13,0,68
Benbrook,6873,11,20,10,65,0,6,0,8,7,0,0,10,42,123,284,230,486,1361,1372,1373,656,435,118,97,131,28
Blue Mound,636,3,3,0,4,0,0,0,0,2,4,3,32,8,85,50,85,107,162,52,6,0,0,3,27,0,0
Briar,1794,31,0,0,27,0,0,7,0,36,0,0,101,95,13,0,55,88,265,153,252,309,272,27,26,19,18
Burleson,12475,33,58,28,83,129,28,6,0,18,17,0,41,43,305,288,350,901,2369,2339,3257,1393,717,36,36,0,0
